DEBUG 2024-10-03 20:59:55,940 autoreload File E:\Users\Administrator\anaconda3\envs\musetalk\Lib\site-packages\django\utils\_os.py first seen with mtime 1725444486.6511507
DEBUG 2024-10-03 20:59:55,940 autoreload File E:\Users\Administrator\anaconda3\envs\musetalk\Lib\site-packages\django\db\backends\sqlite3\features.py first seen with mtime 1725444486.5871508
DEBUG 2024-10-03 20:59:55,941 autoreload File E:\Users\Administrator\anaconda3\envs\musetalk\Lib\site-packages\sqlparse\exceptions.py first seen with mtime 1690904818.0
DEBUG 2024-10-03 20:59:55,941 autoreload File E:\Users\Administrator\anaconda3\envs\musetalk\Lib\site-packages\urllib3\connectionpool.py first seen with mtime 1716949265.3361635
DEBUG 2024-10-03 20:59:55,941 autoreload File E:\Users\Administrator\anaconda3\envs\musetalk\DLLs\select.pyd first seen with mtime 1715025178.6701288
DEBUG 2024-10-03 20:59:55,942 autoreload File E:\Users\Administrator\anaconda3\envs\musetalk\Lib\site-packages\yaml\__init__.py first seen with mtime 1716948668.3122907
DEBUG 2024-10-03 20:59:55,942 autoreload File E:\Users\Administrator\anaconda3\envs\musetalk\Lib\site-packages\requests\sessions.py first seen with mtime 1716948931.3058991
DEBUG 2024-10-03 20:59:55,943 autoreload File E:\Users\Administrator\anaconda3\envs\musetalk\Lib\site-packages\django\core\signing.py first seen with mtime 1725444486.5431507
DEBUG 2024-10-03 20:59:55,944 autoreload File E:\Users\Administrator\anaconda3\envs\musetalk\Lib\site-packages\django\utils\timesince.py first seen with mtime 1725444486.6631508
DEBUG 2024-10-03 20:59:55,944 autoreload File E:\Users\Administrator\anaconda3\envs\musetalk\Lib\site-packages\pygments\styles\__init__.py first seen with mtime 1714846879.5624723
DEBUG 2024-10-03 20:59:55,945 autoreload File E:\Users\Administrator\anaconda3\envs\musetalk\Lib\email\quoprimime.py first seen with mtime 1710884776.0
DEBUG 2024-10-03 20:59:55,946 autoreload File E:\Users\Administrator\anaconda3\envs\musetalk\DLLs\_asyncio.pyd first seen with mtime 1715025192.264519
DEBUG 2024-10-03 20:59:55,946 autoreload File E:\Users\Administrator\anaconda3\envs\musetalk\Lib\importlib\metadata\_adapters.py first seen with mtime 1710884776.0
DEBUG 2024-10-03 20:59:55,947 autoreload File E:\Users\Administrator\anaconda3\envs\musetalk\Lib\socket.py first seen with mtime 1710884776.0
DEBUG 2024-10-03 20:59:55,948 autoreload File E:\Users\Administrator\anaconda3\envs\musetalk\Lib\email\_policybase.py first seen with mtime 1710884776.0
DEBUG 2024-10-03 20:59:55,949 autoreload File E:\Users\Administrator\anaconda3\envs\musetalk\Lib\reprlib.py first seen with mtime 1710884776.0
DEBUG 2024-10-03 20:59:55,949 autoreload File E:\Users\Administrator\anaconda3\envs\musetalk\Lib\site-packages\django\core\files\__init__.py first seen with mtime 1725444486.5511508
DEBUG 2024-10-03 20:59:55,950 autoreload File E:\Users\Administrator\anaconda3\envs\musetalk\Lib\sysconfig.py first seen with mtime 1715024603.7267992
DEBUG 2024-10-03 20:59:55,950 autoreload File E:\Users\Administrator\anaconda3\envs\musetalk\Lib\zoneinfo\_common.py first seen with mtime 1710884776.0
DEBUG 2024-10-03 20:59:55,951 autoreload File E:\Users\Administrator\anaconda3\envs\musetalk\Lib\site-packages\markupsafe\__init__.py first seen with mtime 1716948681.7221823
DEBUG 2024-10-03 20:59:55,951 autoreload File E:\Users\Administrator\anaconda3\envs\musetalk\Lib\site-packages\django\core\checks\__init__.py first seen with mtime 1725444486.5471509
DEBUG 2024-10-03 20:59:55,951 autoreload File E:\Users\Administrator\anaconda3\envs\musetalk\Lib\site-packages\django\contrib\auth\models.py first seen with mtime 1725444485.9431505
DEBUG 2024-10-03 20:59:55,952 autoreload File E:\Users\Administrator\anaconda3\envs\musetalk\Lib\site-packages\django\contrib\sessions\exceptions.py first seen with mtime 1725444486.4151506
DEBUG 2024-10-03 20:59:55,953 autoreload File E:\Users\Administrator\anaconda3\envs\musetalk\Lib\site-packages\django\utils\dateparse.py first seen with mtime 1725444486.655151
